id.condition,strides,drops,strides.cut,strides.new.length,h.original,h.random,h.contiguous
S185_G02_D02_B03_T03,244,0.08,19,225,0.68196598914635,0.666985401524217,0.678065111345672
S186_G02_D01_B01_T01,183,0.08,14,169,0.904158433389066,0.941378162755983,0.886399094716086
S186_G02_D01_B01_T02,187,0.08,14,173,0.976502859232484,0.974952817031138,0.976192927565605
S186_G02_D01_B01_T03,188,0.08,15,173,0.982600654532761,0.978851815463837,0.984008864401848
S186_G02_D01_B02_T01,191,0.08,15,176,0.988030680740281,0.987654458596981,0.986789209941206
S186_G02_D01_B02_T02,191,0.08,15,176,0.980520834113025,0.985059214538018,0.97884737961632
S186_G02_D01_B02_T03,191,0.08,15,176,0.984320282275155,0.981971347886111,0.980559938815944
S186_G02_D01_B03_T01,193,0.08,15,178,0.975388335000154,0.977838142745977,0.966597744638657
S186_G02_D01_B03_T02,195,0.08,15,180,0.992826136304835,0.992134118531955,0.991385817777725
S186_G02_D01_B03_T03,197,0.08,15,182,0.992864471414932,0.991103989726029,0.984342305828205
S186_G02_D02_B01_T01,191,0.08,15,176,0.984375206850819,0.984518829322903,0.980154736576746
S186_G02_D02_B01_T02,195,0.08,15,180,0.973446026782921,0.956094205169095,0.968326919328726
S186_G02_D02_B01_T03,184,0.08,14,170,0.992515194315012,0.992796203512509,0.992830447604722
S186_G02_D02_B02_T01,192,0.08,15,177,0.988723422562446,0.989167329836793,0.988699192006792
S186_G02_D02_B02_T02,189,0.08,15,174,0.978199133829399,0.976875092133763,0.984034994308869
S186_G02_D02_B02_T03,193,0.08,15,178,0.981653689154101,0.982167445806942,0.980922277616264
S186_G02_D02_B03_T01,193,0.08,15,178,0.974132772659075,0.971999452061019,0.976106185252877
S186_G02_D02_B03_T02,191,0.08,15,176,0.984294531123056,0.980191079854212,0.985480857529194
S186_G02_D02_B03_T03,192,0.08,15,177,0.993333861227458,0.99180053210985,0.991396610201706
S001_G01_D01_B01_T01,210,0.1,21,189,0.81635253919787,0.791657360466809,0.825007891280584
S001_G01_D01_B01_T02,211,0.1,21,190,0.942174125285981,0.924124642683309,0.954390608751579
S001_G01_D01_B01_T03,210,0.1,21,189,0.88556387644593,0.94007596336871,0.917121125394591
S001_G01_D01_B02_T01,211,0.1,21,190,0.710488201480814,0.726550702768891,0.672507692895371
S001_G01_D01_B02_T02,210,0.1,21,189,0.81399888268765,0.824967144221968,0.819972919004013
S001_G01_D01_B02_T03,212,0.1,21,191,0.959239316328652,0.956060481574443,0.969775376206986
